01.01.2023,Day-ahead Price,Currency,Year,Month,Day,Hour
04:00 - 05:00,145.35,EUR,2023,4,4,5
05:00 - 06:00,180.57,EUR,2023,4,4,6
06:00 - 07:00,190.61,EUR,2023,4,4,7
07:00 - 08:00,158.27,EUR,2023,4,4,8
08:00 - 09:00,107.79,EUR,2023,4,4,9
09:00 - 10:00,112.02,EUR,2023,4,4,10
10:00 - 11:00,102.94,EUR,2023,4,4,11
11:00 - 12:00,107.2,EUR,2023,4,4,12
12:00 - 13:00,107.31,EUR,2023,4,4,13
13:00 - 14:00,108.71,EUR,2023,4,4,14
14:00 - 15:00,112.73,EUR,2023,4,4,15
15:00 - 16:00,122,EUR,2023,4,4,16
16:00 - 17:00,147.1,EUR,2023,4,4,17
17:00 - 18:00,180,EUR,2023,4,4,18
18:00 - 19:00,177.32,EUR,2023,4,4,19
19:00 - 20:00,156.04,EUR,2023,4,4,20
20:00 - 21:00,141.39,EUR,2023,4,4,21
21:00 - 22:00,129.9,EUR,2023,4,4,22
22:00 - 23:00,127.34,EUR,2023,4,4,23
23:00 - 00:00,118.13,EUR,2023,4,4,24
00:00 - 01:00,119.54,EUR,2023,4,5,1
01:00 - 02:00,118.18,EUR,2023,4,5,2
02:00 - 03:00,124.8,EUR,2023,4,5,3
03:00 - 04:00,134.29,EUR,2023,4,5,4
04:00 - 05:00,165.99,EUR,2023,4,5,5
05:00 - 06:00,207.92,EUR,2023,4,5,6
06:00 - 07:00,180.75,EUR,2023,4,5,7
07:00 - 08:00,144.53,EUR,2023,4,5,8
08:00 - 09:00,112,EUR,2023,4,5,9
09:00 - 10:00,113.89,EUR,2023,4,5,10
10:00 - 11:00,111.17,EUR,2023,4,5,11
11:00 - 12:00,109.66,EUR,2023,4,5,12
12:00 - 13:00,111.04,EUR,2023,4,5,13
13:00 - 14:00,110.96,EUR,2023,4,5,14
14:00 - 15:00,116.29,EUR,2023,4,5,15
15:00 - 16:00,135.6,EUR,2023,4,5,16
16:00 - 17:00,156.52,EUR,2023,4,5,17
17:00 - 18:00,199.56,EUR,2023,4,5,18
18:00 - 19:00,191.68,EUR,2023,4,5,19
19:00 - 20:00,164.98,EUR,2023,4,5,20
20:00 - 21:00,151.39,EUR,2023,4,5,21
21:00 - 22:00,139.13,EUR,2023,4,5,22
22:00 - 23:00,135.54,EUR,2023,4,5,23
23:00 - 00:00,124.12,EUR,2023,4,5,24
00:00 - 01:00,120,EUR,2023,4,6,1
01:00 - 02:00,115.33,EUR,2023,4,6,2
02:00 - 03:00,114.85,EUR,2023,4,6,3
03:00 - 04:00,124.91,EUR,2023,4,6,4
04:00 - 05:00,142.51,EUR,2023,4,6,5
05:00 - 06:00,161.63,EUR,2023,4,6,6
06:00 - 07:00,159.52,EUR,2023,4,6,7
07:00 - 08:00,129.93,EUR,2023,4,6,8
08:00 - 09:00,126.01,EUR,2023,4,6,9
09:00 - 10:00,117.02,EUR,2023,4,6,10
10:00 - 11:00,109.36,EUR,2023,4,6,11
11:00 - 12:00,108.44,EUR,2023,4,6,12
12:00 - 13:00,106.89,EUR,2023,4,6,13
13:00 - 14:00,108.13,EUR,2023,4,6,14
14:00 - 15:00,109.87,EUR,2023,4,6,15
15:00 - 16:00,121.17,EUR,2023,4,6,16
16:00 - 17:00,140,EUR,2023,4,6,17
17:00 - 18:00,150.23,EUR,2023,4,6,18
18:00 - 19:00,144.24,EUR,2023,4,6,19
19:00 - 20:00,152,EUR,2023,4,6,20
20:00 - 21:00,139.8,EUR,2023,4,6,21
21:00 - 22:00,123.3,EUR,2023,4,6,22
22:00 - 23:00,129.6,EUR,2023,4,6,23
23:00 - 00:00,124.5,EUR,2023,4,6,24
00:00 - 01:00,114.95,EUR,2023,4,7,1
01:00 - 02:00,108.6,EUR,2023,4,7,2
02:00 - 03:00,109.2,EUR,2023,4,7,3
03:00 - 04:00,117.68,EUR,2023,4,7,4
04:00 - 05:00,110.07,EUR,2023,4,7,5
05:00 - 06:00,118,EUR,2023,4,7,6
06:00 - 07:00,159.99,EUR,2023,4,7,7
07:00 - 08:00,150,EUR,2023,4,7,8
08:00 - 09:00,149.17,EUR,2023,4,7,9
09:00 - 10:00,131.97,EUR,2023,4,7,10
10:00 - 11:00,119.9,EUR,2023,4,7,11
11:00 - 12:00,110.6,EUR,2023,4,7,12
12:00 - 13:00,107.2,EUR,2023,4,7,13
13:00 - 14:00,104.42,EUR,2023,4,7,14
14:00 - 15:00,110.4,EUR,2023,4,7,15
15:00 - 16:00,116,EUR,2023,4,7,16
16:00 - 17:00,127.78,EUR,2023,4,7,17
17:00 - 18:00,145.88,EUR,2023,4,7,18
18:00 - 19:00,159.48,EUR,2023,4,7,19
19:00 - 20:00,146.81,EUR,2023,4,7,20
20:00 - 21:00,136.32,EUR,2023,4,7,21
21:00 - 22:00,126.07,EUR,2023,4,7,22
22:00 - 23:00,119.9,EUR,2023,4,7,23
23:00 - 00:00,111.51,EUR,2023,4,7,24
00:00 - 01:00,112.65,EUR,2023,4,8,1
01:00 - 02:00,110.75,EUR,2023,4,8,2
02:00 - 03:00,110.78,EUR,2023,4,8,3
03:00 - 04:00,112.16,EUR,2023,4,8,4
04:00 - 05:00,112.56,EUR,2023,4,8,5
05:00 - 06:00,129.35,EUR,2023,4,8,6
06:00 - 07:00,130.75,EUR,2023,4,8,7
07:00 - 08:00,125.59,EUR,2023,4,8,8
08:00 - 09:00,108.07,EUR,2023,4,8,9
09:00 - 10:00,104.27,EUR,2023,4,8,10
10:00 - 11:00,88.6,EUR,2023,4,8,11
11:00 - 12:00,77,EUR,2023,4,8,12
12:00 - 13:00,70.1,EUR,2023,4,8,13
13:00 - 14:00,83.39,EUR,2023,4,8,14
14:00 - 15:00,95.98,EUR,2023,4,8,15
15:00 - 16:00,104.47,EUR,2023,4,8,16
16:00 - 17:00,117.47,EUR,2023,4,8,17
17:00 - 18:00,135.01,EUR,2023,4,8,18
18:00 - 19:00,139.97,EUR,2023,4,8,19
19:00 - 20:00,137.31,EUR,2023,4,8,20
20:00 - 21:00,134.9,EUR,2023,4,8,21
21:00 - 22:00,126.98,EUR,2023,4,8,22
22:00 - 23:00,127.99,EUR,2023,4,8,23
23:00 - 00:00,117.86,EUR,2023,4,8,24
00:00 - 01:00,119.83,EUR,2023,4,9,1
01:00 - 02:00,117.99,EUR,2023,4,9,2
02:00 - 03:00,118.24,EUR,2023,4,9,3
03:00 - 04:00,117.86,EUR,2023,4,9,4
04:00 - 05:00,120,EUR,2023,4,9,5
05:00 - 06:00,118.9,EUR,2023,4,9,6
06:00 - 07:00,122.98,EUR,2023,4,9,7
07:00 - 08:00,112.21,EUR,2023,4,9,8
08:00 - 09:00,100,EUR,2023,4,9,9
09:00 - 10:00,87,EUR,2023,4,9,10
10:00 - 11:00,81.96,EUR,2023,4,9,11
11:00 - 12:00,60.01,EUR,2023,4,9,12
12:00 - 13:00,55,EUR,2023,4,9,13
13:00 - 14:00,56,EUR,2023,4,9,14
14:00 - 15:00,74,EUR,2023,4,9,15
15:00 - 16:00,86.35,EUR,2023,4,9,16
16:00 - 17:00,115.2,EUR,2023,4,9,17
17:00 - 18:00,129.97,EUR,2023,4,9,18
18:00 - 19:00,133.46,EUR,2023,4,9,19
19:00 - 20:00,126.39,EUR,2023,4,9,20
20:00 - 21:00,115,EUR,2023,4,9,21
21:00 - 22:00,106.94,EUR,2023,4,9,22
22:00 - 23:00,98.21,EUR,2023,4,9,23
23:00 - 00:00,81.85,EUR,2023,4,9,24
00:00 - 01:00,78.14,EUR,2023,4,10,1
01:00 - 02:00,71.9,EUR,2023,4,10,2
02:00 - 03:00,70,EUR,2023,4,10,3
03:00 - 04:00,72.96,EUR,2023,4,10,4
04:00 - 05:00,80,EUR,2023,4,10,5
05:00 - 06:00,77.65,EUR,2023,4,10,6
06:00 - 07:00,69.49,EUR,2023,4,10,7
07:00 - 08:00,54.9,EUR,2023,4,10,8
08:00 - 09:00,24.58,EUR,2023,4,10,9
09:00 - 10:00,0.2,EUR,2023,4,10,10
10:00 - 11:00,-1.01,EUR,2023,4,10,11
11:00 - 12:00,-7.84,EUR,2023,4,10,12
12:00 - 13:00,-7.33,EUR,2023,4,10,13
13:00 - 14:00,-3.1,EUR,2023,4,10,14
14:00 - 15:00,-0.02,EUR,2023,4,10,15
15:00 - 16:00,20.22,EUR,2023,4,10,16
16:00 - 17:00,51.28,EUR,2023,4,10,17
17:00 - 18:00,80,EUR,2023,4,10,18
18:00 - 19:00,81.6,EUR,2023,4,10,19
19:00 - 20:00,74.9,EUR,2023,4,10,20
20:00 - 21:00,68.64,EUR,2023,4,10,21
21:00 - 22:00,45,EUR,2023,4,10,22
22:00 - 23:00,13.08,EUR,2023,4,10,23
23:00 - 00:00,1.16,EUR,2023,4,10,24
00:00 - 01:00,0.76,EUR,2023,4,11,1
01:00 - 02:00,1.09,EUR,2023,4,11,2
02:00 - 03:00,6.1,EUR,2023,4,11,3
03:00 - 04:00,34.51,EUR,2023,4,11,4
04:00 - 05:00,94.18,EUR,2023,4,11,5
05:00 - 06:00,115.98,EUR,2023,4,11,6
06:00 - 07:00,123.26,EUR,2023,4,11,7
07:00 - 08:00,93.8,EUR,2023,4,11,8
08:00 - 09:00,54.25,EUR,2023,4,11,9
09:00 - 10:00,9.03,EUR,2023,4,11,10
10:00 - 11:00,-16,EUR,2023,4,11,11
11:00 - 12:00,-18,EUR,2023,4,11,12
12:00 - 13:00,-30,EUR,2023,4,11,13
13:00 - 14:00,-4.6,EUR,2023,4,11,14
14:00 - 15:00,6.61,EUR,2023,4,11,15
15:00 - 16:00,82.2,EUR,2023,4,11,16
16:00 - 17:00,130.8,EUR,2023,4,11,17
17:00 - 18:00,162.46,EUR,2023,4,11,18
18:00 - 19:00,165.38,EUR,2023,4,11,19
19:00 - 20:00,141.39,EUR,2023,4,11,20
20:00 - 21:00,130.8,EUR,2023,4,11,21
21:00 - 22:00,111,EUR,2023,4,11,22
22:00 - 23:00,95.3,EUR,2023,4,11,23
23:00 - 00:00,77.2,EUR,2023,4,11,24
00:00 - 01:00,59.06,EUR,2023,4,12,1
01:00 - 02:00,46.32,EUR,2023,4,12,2
02:00 - 03:00,45.5,EUR,2023,4,12,3
03:00 - 04:00,80.29,EUR,2023,4,12,4
04:00 - 05:00,106.45,EUR,2023,4,12,5
05:00 - 06:00,123.35,EUR,2023,4,12,6
06:00 - 07:00,136.41,EUR,2023,4,12,7
07:00 - 08:00,131.99,EUR,2023,4,12,8
08:00 - 09:00,120,EUR,2023,4,12,9
09:00 - 10:00,111.56,EUR,2023,4,12,10
10:00 - 11:00,100.6,EUR,2023,4,12,11
11:00 - 12:00,97.36,EUR,2023,4,12,12
12:00 - 13:00,97.62,EUR,2023,4,12,13
13:00 - 14:00,97.07,EUR,2023,4,12,14
14:00 - 15:00,100.34,EUR,2023,4,12,15
15:00 - 16:00,109.3,EUR,2023,4,12,16
16:00 - 17:00,106.62,EUR,2023,4,12,17
17:00 - 18:00,111.53,EUR,2023,4,12,18
18:00 - 19:00,125,EUR,2023,4,12,19
19:00 - 20:00,112.11,EUR,2023,4,12,20
20:00 - 21:00,109.3,EUR,2023,4,12,21
21:00 - 22:00,97.95,EUR,2023,4,12,22
22:00 - 23:00,97.23,EUR,2023,4,12,23
23:00 - 00:00,85.09,EUR,2023,4,12,24
00:00 - 01:00,79.49,EUR,2023,4,13,1
01:00 - 02:00,72.86,EUR,2023,4,13,2
02:00 - 03:00,71.12,EUR,2023,4,13,3
03:00 - 04:00,82.5,EUR,2023,4,13,4
04:00 - 05:00,102.06,EUR,2023,4,13,5
05:00 - 06:00,115.04,EUR,2023,4,13,6
06:00 - 07:00,122.15,EUR,2023,4,13,7
07:00 - 08:00,105.39,EUR,2023,4,13,8
08:00 - 09:00,83.4,EUR,2023,4,13,9
09:00 - 10:00,34.9,EUR,2023,4,13,10
10:00 - 11:00,-4.5,EUR,2023,4,13,11
11:00 - 12:00,-50,EUR,2023,4,13,12
12:00 - 13:00,-50.07,EUR,2023,4,13,13
13:00 - 14:00,-50,EUR,2023,4,13,14
14:00 - 15:00,-0.9,EUR,2023,4,13,15
15:00 - 16:00,108.1,EUR,2023,4,13,16
16:00 - 17:00,128.1,EUR,2023,4,13,17
17:00 - 18:00,151,EUR,2023,4,13,18
18:00 - 19:00,155.2,EUR,2023,4,13,19
19:00 - 20:00,152,EUR,2023,4,13,20
20:00 - 21:00,134.04,EUR,2023,4,13,21
21:00 - 22:00,120.1,EUR,2023,4,13,22
22:00 - 23:00,118.09,EUR,2023,4,13,23
23:00 - 00:00,112.8,EUR,2023,4,13,24
00:00 - 01:00,116.54,EUR,2023,4,14,1
01:00 - 02:00,112.8,EUR,2023,4,14,2
02:00 - 03:00,113.14,EUR,2023,4,14,3
03:00 - 04:00,127.4,EUR,2023,4,14,4
04:00 - 05:00,144.74,EUR,2023,4,14,5
05:00 - 06:00,171.74,EUR,2023,4,14,6
06:00 - 07:00,176.16,EUR,2023,4,14,7
07:00 - 08:00,149.94,EUR,2023,4,14,8
08:00 - 09:00,107.7,EUR,2023,4,14,9
09:00 - 10:00,109.5,EUR,2023,4,14,10
10:00 - 11:00,104.7,EUR,2023,4,14,11
11:00 - 12:00,101.12,EUR,2023,4,14,12
12:00 - 13:00,102.6,EUR,2023,4,14,13
13:00 - 14:00,94.4,EUR,2023,4,14,14
14:00 - 15:00,105.16,EUR,2023,4,14,15
15:00 - 16:00,113.4,EUR,2023,4,14,16
16:00 - 17:00,138.16,EUR,2023,4,14,17
17:00 - 18:00,151.69,EUR,2023,4,14,18
18:00 - 19:00,152.42,EUR,2023,4,14,19
19:00 - 20:00,151,EUR,2023,4,14,20
20:00 - 21:00,134.73,EUR,2023,4,14,21
21:00 - 22:00,120.29,EUR,2023,4,14,22
22:00 - 23:00,123.9,EUR,2023,4,14,23
23:00 - 00:00,112,EUR,2023,4,14,24
00:00 - 01:00,114.38,EUR,2023,4,15,1
01:00 - 02:00,108,EUR,2023,4,15,2
02:00 - 03:00,105.14,EUR,2023,4,15,3
03:00 - 04:00,103.55,EUR,2023,4,15,4
04:00 - 05:00,105.56,EUR,2023,4,15,5
05:00 - 06:00,104.85,EUR,2023,4,15,6
06:00 - 07:00,106.21,EUR,2023,4,15,7
07:00 - 08:00,101.1,EUR,2023,4,15,8
08:00 - 09:00,94.92,EUR,2023,4,15,9
09:00 - 10:00,93.94,EUR,2023,4,15,10
10:00 - 11:00,77.64,EUR,2023,4,15,11
11:00 - 12:00,15,EUR,2023,4,15,12
12:00 - 13:00,0.92,EUR,2023,4,15,13
13:00 - 14:00,61,EUR,2023,4,15,14
14:00 - 15:00,72.29,EUR,2023,4,15,15
15:00 - 16:00,98.81,EUR,2023,4,15,16
16:00 - 17:00,112.66,EUR,2023,4,15,17
17:00 - 18:00,132.79,EUR,2023,4,15,18
18:00 - 19:00,134.51,EUR,2023,4,15,19
19:00 - 20:00,127.8,EUR,2023,4,15,20
20:00 - 21:00,127.71,EUR,2023,4,15,21
21:00 - 22:00,119.3,EUR,2023,4,15,22
22:00 - 23:00,111.55,EUR,2023,4,15,23
23:00 - 00:00,103.49,EUR,2023,4,15,24
00:00 - 01:00,102.68,EUR,2023,4,16,1
01:00 - 02:00,101.09,EUR,2023,4,16,2
02:00 - 03:00,102.63,EUR,2023,4,16,3
03:00 - 04:00,103.5,EUR,2023,4,16,4
04:00 - 05:00,103.5,EUR,2023,4,16,5
05:00 - 06:00,103.37,EUR,2023,4,16,6
06:00 - 07:00,110.43,EUR,2023,4,16,7
07:00 - 08:00,114.68,EUR,2023,4,16,8
08:00 - 09:00,111.04,EUR,2023,4,16,9
09:00 - 10:00,107.83,EUR,2023,4,16,10
10:00 - 11:00,104.05,EUR,2023,4,16,11
11:00 - 12:00,98.16,EUR,2023,4,16,12
12:00 - 13:00,94.74,EUR,2023,4,16,13
13:00 - 14:00,94.27,EUR,2023,4,16,14
14:00 - 15:00,96.06,EUR,2023,4,16,15
15:00 - 16:00,101,EUR,2023,4,16,16
16:00 - 17:00,115.21,EUR,2023,4,16,17
17:00 - 18:00,132.88,EUR,2023,4,16,18
18:00 - 19:00,140,EUR,2023,4,16,19
19:00 - 20:00,135,EUR,2023,4,16,20
20:00 - 21:00,129.97,EUR,2023,4,16,21
21:00 - 22:00,125.35,EUR,2023,4,16,22
22:00 - 23:00,114.75,EUR,2023,4,16,23
23:00 - 00:00,111.14,EUR,2023,4,16,24
00:00 - 01:00,108.96,EUR,2023,4,17,1
01:00 - 02:00,110.1,EUR,2023,4,17,2
02:00 - 03:00,110,EUR,2023,4,17,3
03:00 - 04:00,114.91,EUR,2023,4,17,4
04:00 - 05:00,140.78,EUR,2023,4,17,5
05:00 - 06:00,178.38,EUR,2023,4,17,6
06:00 - 07:00,199.29,EUR,2023,4,17,7
07:00 - 08:00,162.62,EUR,2023,4,17,8
08:00 - 09:00,135.61,EUR,2023,4,17,9
09:00 - 10:00,117.6,EUR,2023,4,17,10
10:00 - 11:00,105.13,EUR,2023,4,17,11
11:00 - 12:00,100.92,EUR,2023,4,17,12
12:00 - 13:00,96.99,EUR,2023,4,17,13
13:00 - 14:00,92.75,EUR,2023,4,17,14
14:00 - 15:00,96.76,EUR,2023,4,17,15
15:00 - 16:00,100.99,EUR,2023,4,17,16
16:00 - 17:00,122.33,EUR,2023,4,17,17
17:00 - 18:00,143.61,EUR,2023,4,17,18
18:00 - 19:00,142.78,EUR,2023,4,17,19
19:00 - 20:00,134.25,EUR,2023,4,17,20
20:00 - 21:00,122.82,EUR,2023,4,17,21
21:00 - 22:00,109.16,EUR,2023,4,17,22
22:00 - 23:00,105.31,EUR,2023,4,17,23
23:00 - 00:00,102.07,EUR,2023,4,17,24
00:00 - 01:00,101.1,EUR,2023,4,18,1
01:00 - 02:00,101.29,EUR,2023,4,18,2
02:00 - 03:00,100.55,EUR,2023,4,18,3
03:00 - 04:00,101.27,EUR,2023,4,18,4
04:00 - 05:00,127,EUR,2023,4,18,5
05:00 - 06:00,140.27,EUR,2023,4,18,6
06:00 - 07:00,154.88,EUR,2023,4,18,7
07:00 - 08:00,133.99,EUR,2023,4,18,8
08:00 - 09:00,106.21,EUR,2023,4,18,9
09:00 - 10:00,99.59,EUR,2023,4,18,10
10:00 - 11:00,90.08,EUR,2023,4,18,11
11:00 - 12:00,84,EUR,2023,4,18,12
12:00 - 13:00,78.79,EUR,2023,4,18,13
13:00 - 14:00,77.95,EUR,2023,4,18,14
14:00 - 15:00,79.5,EUR,2023,4,18,15
15:00 - 16:00,94.41,EUR,2023,4,18,16
16:00 - 17:00,108.21,EUR,2023,4,18,17
17:00 - 18:00,130.46,EUR,2023,4,18,18
18:00 - 19:00,139.9,EUR,2023,4,18,19
19:00 - 20:00,134.28,EUR,2023,4,18,20
20:00 - 21:00,105.8,EUR,2023,4,18,21
21:00 - 22:00,96.9,EUR,2023,4,18,22
22:00 - 23:00,102.2,EUR,2023,4,18,23
23:00 - 00:00,97.54,EUR,2023,4,18,24
00:00 - 01:00,99.92,EUR,2023,4,19,1
01:00 - 02:00,98.95,EUR,2023,4,19,2
02:00 - 03:00,101.33,EUR,2023,4,19,3
03:00 - 04:00,105.87,EUR,2023,4,19,4
04:00 - 05:00,130,EUR,2023,4,19,5
05:00 - 06:00,138.94,EUR,2023,4,19,6
06:00 - 07:00,137,EUR,2023,4,19,7
07:00 - 08:00,104.1,EUR,2023,4,19,8
08:00 - 09:00,70,EUR,2023,4,19,9
09:00 - 10:00,-3.9,EUR,2023,4,19,10
10:00 - 11:00,-94.79,EUR,2023,4,19,11
11:00 - 12:00,-194.2,EUR,2023,4,19,12
12:00 - 13:00,-195.41,EUR,2023,4,19,13
13:00 - 14:00,-150,EUR,2023,4,19,14
14:00 - 15:00,-30,EUR,2023,4,19,15
15:00 - 16:00,66.56,EUR,2023,4,19,16
16:00 - 17:00,90.97,EUR,2023,4,19,17
17:00 - 18:00,120.11,EUR,2023,4,19,18
18:00 - 19:00,128.38,EUR,2023,4,19,19
19:00 - 20:00,122.82,EUR,2023,4,19,20
20:00 - 21:00,109.9,EUR,2023,4,19,21
21:00 - 22:00,101.66,EUR,2023,4,19,22
22:00 - 23:00,100.19,EUR,2023,4,19,23
23:00 - 00:00,94.35,EUR,2023,4,19,24
00:00 - 01:00,96.76,EUR,2023,4,20,1
01:00 - 02:00,94.98,EUR,2023,4,20,2
02:00 - 03:00,97.18,EUR,2023,4,20,3
03:00 - 04:00,102.78,EUR,2023,4,20,4
04:00 - 05:00,127.97,EUR,2023,4,20,5
05:00 - 06:00,144.48,EUR,2023,4,20,6
06:00 - 07:00,144.7,EUR,2023,4,20,7
07:00 - 08:00,130.04,EUR,2023,4,20,8
08:00 - 09:00,102.2,EUR,2023,4,20,9
09:00 - 10:00,96.94,EUR,2023,4,20,10
10:00 - 11:00,94.23,EUR,2023,4,20,11
11:00 - 12:00,89.61,EUR,2023,4,20,12
12:00 - 13:00,88.71,EUR,2023,4,20,13
13:00 - 14:00,86.68,EUR,2023,4,20,14
14:00 - 15:00,92.09,EUR,2023,4,20,15
15:00 - 16:00,103.76,EUR,2023,4,20,16
16:00 - 17:00,128.99,EUR,2023,4,20,17
17:00 - 18:00,142.46,EUR,2023,4,20,18
18:00 - 19:00,147.06,EUR,2023,4,20,19
19:00 - 20:00,139.24,EUR,2023,4,20,20
20:00 - 21:00,125,EUR,2023,4,20,21
21:00 - 22:00,115.86,EUR,2023,4,20,22
22:00 - 23:00,104.9,EUR,2023,4,20,23
23:00 - 00:00,94.92,EUR,2023,4,20,24
00:00 - 01:00,99.08,EUR,2023,4,21,1
01:00 - 02:00,98,EUR,2023,4,21,2
02:00 - 03:00,92.6,EUR,2023,4,21,3
03:00 - 04:00,98.37,EUR,2023,4,21,4
04:00 - 05:00,111.21,EUR,2023,4,21,5
05:00 - 06:00,132.61,EUR,2023,4,21,6
06:00 - 07:00,134.7,EUR,2023,4,21,7
07:00 - 08:00,106.25,EUR,2023,4,21,8
08:00 - 09:00,103.16,EUR,2023,4,21,9
09:00 - 10:00,86.39,EUR,2023,4,21,10
10:00 - 11:00,55.17,EUR,2023,4,21,11
11:00 - 12:00,44.9,EUR,2023,4,21,12
12:00 - 13:00,50,EUR,2023,4,21,13
13:00 - 14:00,60,EUR,2023,4,21,14
14:00 - 15:00,77.23,EUR,2023,4,21,15
15:00 - 16:00,98,EUR,2023,4,21,16
16:00 - 17:00,123,EUR,2023,4,21,17
17:00 - 18:00,140.61,EUR,2023,4,21,18
18:00 - 19:00,143.95,EUR,2023,4,21,19
19:00 - 20:00,142.67,EUR,2023,4,21,20
20:00 - 21:00,120.1,EUR,2023,4,21,21
21:00 - 22:00,110.5,EUR,2023,4,21,22
22:00 - 23:00,102.5,EUR,2023,4,21,23
23:00 - 00:00,95.48,EUR,2023,4,21,24
00:00 - 01:00,96.34,EUR,2023,4,22,1
01:00 - 02:00,93.43,EUR,2023,4,22,2
02:00 - 03:00,91.38,EUR,2023,4,22,3
03:00 - 04:00,96.09,EUR,2023,4,22,4
04:00 - 05:00,99.82,EUR,2023,4,22,5
05:00 - 06:00,108.94,EUR,2023,4,22,6
06:00 - 07:00,116.64,EUR,2023,4,22,7
07:00 - 08:00,86,EUR,2023,4,22,8
08:00 - 09:00,74.67,EUR,2023,4,22,9
09:00 - 10:00,45.06,EUR,2023,4,22,10
10:00 - 11:00,26.2,EUR,2023,4,22,11
11:00 - 12:00,16,EUR,2023,4,22,12
12:00 - 13:00,69.93,EUR,2023,4,22,13
13:00 - 14:00,89,EUR,2023,4,22,14
14:00 - 15:00,90.59,EUR,2023,4,22,15
15:00 - 16:00,95,EUR,2023,4,22,16
16:00 - 17:00,112.97,EUR,2023,4,22,17
17:00 - 18:00,131.95,EUR,2023,4,22,18
18:00 - 19:00,130.5,EUR,2023,4,22,19
19:00 - 20:00,127,EUR,2023,4,22,20
20:00 - 21:00,121.04,EUR,2023,4,22,21
21:00 - 22:00,102.5,EUR,2023,4,22,22
22:00 - 23:00,110.87,EUR,2023,4,22,23
23:00 - 00:00,97.66,EUR,2023,4,22,24
00:00 - 01:00,94.99,EUR,2023,4,23,1
01:00 - 02:00,89.4,EUR,2023,4,23,2
02:00 - 03:00,86.64,EUR,2023,4,23,3
03:00 - 04:00,88.77,EUR,2023,4,23,4
04:00 - 05:00,89.9,EUR,2023,4,23,5
05:00 - 06:00,93.82,EUR,2023,4,23,6
06:00 - 07:00,93.46,EUR,2023,4,23,7
07:00 - 08:00,90.38,EUR,2023,4,23,8
08:00 - 09:00,79.28,EUR,2023,4,23,9
09:00 - 10:00,48.16,EUR,2023,4,23,10
10:00 - 11:00,35.48,EUR,2023,4,23,11
11:00 - 12:00,10.01,EUR,2023,4,23,12
12:00 - 13:00,4.88,EUR,2023,4,23,13
13:00 - 14:00,34.71,EUR,2023,4,23,14
14:00 - 15:00,64.14,EUR,2023,4,23,15
15:00 - 16:00,100.26,EUR,2023,4,23,16
16:00 - 17:00,123.81,EUR,2023,4,23,17
17:00 - 18:00,140.9,EUR,2023,4,23,18
18:00 - 19:00,140.36,EUR,2023,4,23,19
19:00 - 20:00,125.02,EUR,2023,4,23,20
20:00 - 21:00,116.95,EUR,2023,4,23,21
21:00 - 22:00,109.65,EUR,2023,4,23,22
22:00 - 23:00,87.7,EUR,2023,4,23,23
23:00 - 00:00,83.58,EUR,2023,4,23,24
00:00 - 01:00,82.09,EUR,2023,4,24,1
01:00 - 02:00,76.4,EUR,2023,4,24,2
02:00 - 03:00,75.08,EUR,2023,4,24,3
03:00 - 04:00,86.55,EUR,2023,4,24,4
04:00 - 05:00,114.6,EUR,2023,4,24,5
05:00 - 06:00,133.8,EUR,2023,4,24,6
06:00 - 07:00,135,EUR,2023,4,24,7
07:00 - 08:00,126.92,EUR,2023,4,24,8
08:00 - 09:00,110.81,EUR,2023,4,24,9
09:00 - 10:00,108.01,EUR,2023,4,24,10
10:00 - 11:00,98.07,EUR,2023,4,24,11
11:00 - 12:00,94.9,EUR,2023,4,24,12
12:00 - 13:00,86.99,EUR,2023,4,24,13
13:00 - 14:00,84.9,EUR,2023,4,24,14
14:00 - 15:00,86.21,EUR,2023,4,24,15
15:00 - 16:00,97.8,EUR,2023,4,24,16
16:00 - 17:00,117.41,EUR,2023,4,24,17
17:00 - 18:00,134.57,EUR,2023,4,24,18
18:00 - 19:00,135.97,EUR,2023,4,24,19
19:00 - 20:00,129.06,EUR,2023,4,24,20
20:00 - 21:00,110.8,EUR,2023,4,24,21
21:00 - 22:00,100.9,EUR,2023,4,24,22
22:00 - 23:00,100,EUR,2023,4,24,23
23:00 - 00:00,98.6,EUR,2023,4,24,24
00:00 - 01:00,99.3,EUR,2023,4,25,1
01:00 - 02:00,92.12,EUR,2023,4,25,2
02:00 - 03:00,91.8,EUR,2023,4,25,3
03:00 - 04:00,97.36,EUR,2023,4,25,4
04:00 - 05:00,121.6,EUR,2023,4,25,5
05:00 - 06:00,134.1,EUR,2023,4,25,6
06:00 - 07:00,134.93,EUR,2023,4,25,7
07:00 - 08:00,99.1,EUR,2023,4,25,8
08:00 - 09:00,75.62,EUR,2023,4,25,9
09:00 - 10:00,64.28,EUR,2023,4,25,10
10:00 - 11:00,34.9,EUR,2023,4,25,11
11:00 - 12:00,24.9,EUR,2023,4,25,12
12:00 - 13:00,13.88,EUR,2023,4,25,13
13:00 - 14:00,14.24,EUR,2023,4,25,14
14:00 - 15:00,50.1,EUR,2023,4,25,15
15:00 - 16:00,68.41,EUR,2023,4,25,16
16:00 - 17:00,91.96,EUR,2023,4,25,17
17:00 - 18:00,127.03,EUR,2023,4,25,18
18:00 - 19:00,144.16,EUR,2023,4,25,19
19:00 - 20:00,141.98,EUR,2023,4,25,20
20:00 - 21:00,135,EUR,2023,4,25,21
