01.01.2023,Day-ahead Price,Currency,Year,Month,Day,Hour
07:00 - 08:00,179,EUR,2023,1,5,8
08:00 - 09:00,171.04,EUR,2023,1,5,9
09:00 - 10:00,169.47,EUR,2023,1,5,10
10:00 - 11:00,154,EUR,2023,1,5,11
11:00 - 12:00,146,EUR,2023,1,5,12
12:00 - 13:00,145.1,EUR,2023,1,5,13
13:00 - 14:00,151.03,EUR,2023,1,5,14
14:00 - 15:00,159.48,EUR,2023,1,5,15
15:00 - 16:00,172.73,EUR,2023,1,5,16
16:00 - 17:00,222.1,EUR,2023,1,5,17
17:00 - 18:00,194.67,EUR,2023,1,5,18
18:00 - 19:00,177.98,EUR,2023,1,5,19
19:00 - 20:00,163.99,EUR,2023,1,5,20
20:00 - 21:00,152,EUR,2023,1,5,21
21:00 - 22:00,144.64,EUR,2023,1,5,22
22:00 - 23:00,127,EUR,2023,1,5,23
23:00 - 00:00,107.21,EUR,2023,1,5,24
00:00 - 01:00,101.1,EUR,2023,1,6,1
01:00 - 02:00,96.73,EUR,2023,1,6,2
02:00 - 03:00,81.42,EUR,2023,1,6,3
03:00 - 04:00,74.45,EUR,2023,1,6,4
04:00 - 05:00,78.32,EUR,2023,1,6,5
05:00 - 06:00,96.89,EUR,2023,1,6,6
06:00 - 07:00,107.02,EUR,2023,1,6,7
07:00 - 08:00,122.94,EUR,2023,1,6,8
08:00 - 09:00,166.4,EUR,2023,1,6,9
09:00 - 10:00,182.4,EUR,2023,1,6,10
10:00 - 11:00,163.67,EUR,2023,1,6,11
11:00 - 12:00,140.2,EUR,2023,1,6,12
12:00 - 13:00,135,EUR,2023,1,6,13
13:00 - 14:00,158,EUR,2023,1,6,14
14:00 - 15:00,170.4,EUR,2023,1,6,15
15:00 - 16:00,140.1,EUR,2023,1,6,16
16:00 - 17:00,155.93,EUR,2023,1,6,17
17:00 - 18:00,163.5,EUR,2023,1,6,18
18:00 - 19:00,146.74,EUR,2023,1,6,19
19:00 - 20:00,139.39,EUR,2023,1,6,20
20:00 - 21:00,131.84,EUR,2023,1,6,21
21:00 - 22:00,129.94,EUR,2023,1,6,22
